Pressure(psig),H2 to N2 ratio,Ammonia Concentration(%)
0.0,0.5,0.36
20.49,0.5,0.69
39.18,0.5,0.96
59.59,0.5,1.21
79.93,0.5,1.43
0.0,1.0,0.58
10.24,1.0,0.79
20.11,1.0,0.96
39.33,1.0,1.23
59.44,1.0,1.44
75.44,1.0,1.55
79.85,1.0,1.57
0.0,2.0,0.6
10.09,2.0,0.78
20.41,2.0,0.94
39.18,2.0,1.15
59.51,2.0,1.29
75.59,2.0,1.34
80.0,2.0,1.34
0.0,3.0,0.61
10.32,3.0,0.71
20.56,3.0,0.79
39.18,3.0,0.91
59.44,3.0,1.0
79.85,3.0,1.03
0.0,5.0,0.51
10.32,5.0,0.56
20.49,5.0,0.59
39.33,5.0,0.65
59.66,5.0,0.67
79.85,5.0,0.68
80.0,1.0,1.57
80.0,1.0,1.16
80.0,1.0,1.02
80.0,1.0,1.89
